date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-20 15:08:40,AfDimBundestag,,18,19,75,"„Taiwan ist in der #Corona-Pandemie weltweit Vorbild!“ Darauf weist unser Außenpolitischer Sprecher, Armin-Paulus #Hampel, in seiner aktuellen Presseerklärung hin:",,,#Corona #Hampel,1263124487408504833,https://twitter.com/AfDimBundestag/status/1263124487408504833
2020-05-20 14:31:29,Linksfraktion,,7,10,39,"Kleiner #Kindergipfel: Die Corona-Krise bedroht wichtige Fortschritte, befürchtet @DietmarBartsch »DIE LINKE wird sich dafür einsetzen, dass nicht Kinder und Jugendliche am Ende für die Krise zahlen müssen.«",,@DietmarBartsch,#Kindergipfel,1263115131405434881,https://twitter.com/Linksfraktion/status/1263115131405434881
2020-05-20 09:17:18,AfDimBundestag,,9,30,141,"Die #EU soll Darlehen in Höhe von 500 Mrd Euro aufnehmen, um ‚nicht rückzahlbare Finanzhilfen‘ an besonders betroffene #Corona EU-Staaten zu leisten. Dazu Albrecht Glaser: ""Offensichtlicher Bruch der EU-Verträge durch #Merkel und #Macron!"" #AfD #Bundestag",,,#EU #Corona #Merkel #Macron #AfD #Bundestag,1263036063817371656,https://twitter.com/AfDimBundestag/status/1263036063817371656
2020-05-19 12:07:57,AfDimBundestag,,21,95,298,"""Kein #Merkel-#Macron-Wiederaufbaufonds auf Kosten unserer Kinder und Enkel!"" Das fordern @Beatrix_vStorch und @PeterBoehringer, angesichts dessen, dass Deutschland ab 2021 andere EU-Staaten mittels des sog. EU-Wiederaufbaufonds unterstützen soll. #Corona ",,@Beatrix_vStorch @PeterBoehringer,#Merkel #Macron #Corona,1262716621388472320,https://twitter.com/AfDimBundestag/status/1262716621388472320
2020-05-18 10:10:05,Linksfraktion,,2,7,51,"Der Anspruch auf #Corona-#Elterngeld soll nach und nach auslaufen. ""Es ist absolut unverständlich, dass die #Lohnfortzahlung für #Eltern nach sechs Wochen ausläuft, obwohl ein vollständiger Betrieb von #Kitas und #Schulen derzeit nicht in Sicht ist"", sagt @Katrin_Werner.",,@Katrin_Werner,#Corona #Elterngeld #Lohnfortzahlung #Eltern #Kitas #Schulen,1262324571476295681,https://twitter.com/Linksfraktion/status/1262324571476295681
2020-05-15 14:26:04,AfDimBundestag,,183,261,828,"Stellv. Vorsitzender der #AfD-Fraktion im Deutschen #Bundestag, @Tino_Chrupalla, zum Untersuchungssausschuss #Corona: ""Wir haben den dringenden Verdacht, dass man uns und Sie, liebe Bürgerinnen und Bürger, getäuscht hat!"" ",,@Tino_Chrupalla,#AfD #Bundestag #Corona,1261301830128148482,https://twitter.com/AfDimBundestag/status/1261301830128148482
2020-05-15 14:13:03,AfDimBundestag,,4,9,35,"Gesundheitsminister @jensspahn möchte durch das „Zweite Gesetz zum Schutz der Bevölkerung bei einer epidemischen Lage von nationaler Tragweite“ die Menschen vor einer Infektion mit #Corona schützen. @DrRobbySchlund kommentiert hierzu wie folgt: https://www.afdbundestag.de/schlund-spahns-gesetzentwurf-zur-corona-bekaempfung-laesst-deutschland-im-krisenmodus-verharren/ #AfD",,@jensspahn @DrRobbySchlund,#Corona #AfD,1261298553932128256,https://twitter.com/AfDimBundestag/status/1261298553932128256
2020-05-15 12:46:52,Linksfraktion,,0,8,11,"Pia Zimmermann: Warum sollte abendlicher Applaus der angemessene#Lohn für eine gut qualifizierte Fachkraft sein? #Pflegekräfte verdienen mehr! - https://www.youtube.com/watch?v=PcKm7B_XpK8 #Pflege #Corona",,,#Pflegekr #Pflege #Corona,1261276866226380801,https://twitter.com/Linksfraktion/status/1261276866226380801
2020-05-15 08:50:22,AfDimBundestag,,2,10,45,"Regierung will völlig überzogene #Corona-Maßnahmen kaschieren! ""Das Planungssicherstellungsgesetz beruht nicht auf dem Willen das Land voranzubringen!"", @MarcBernhardAfD. #AfD #Bundestag",,@MarcBernhardAfD,#Corona #AfD #Bundestag,1261217345470640128,https://twitter.com/AfDimBundestag/status/1261217345470640128
2020-05-14 16:40:15,AfDimBundestag,,2,15,67,"+++ Kein Gutschein-Zwang in der #Corona-Krise! +++ ""Die Verbraucher müssen selbst entscheiden können, ob sie für eine nicht erbrachte Leistung eine Erstattung oder einen #Gutschein bekommen"", @ProfMaier. #AfD #Bundestag",,@ProfMaier,#Corona #Gutschein #AfD #Bundestag,1260973209400287235,https://twitter.com/AfDimBundestag/status/1260973209400287235
